"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?","Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?","Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
"Ai benar-benar membantu kegiatan manusia, namun disisi lain manusia juga harus belajar lagi dan menyesuaikan diri dengan kemajuan teknologi seperti pada industry 4.0","Iya berdampak, tapi beberapa profesi tidak 100% terdampak seperti desain baju dll karena desain mengikuti suatu tren, dan sekalipun ai dapat membuat desain tetapi hanya dapat membantu saja bukan membuat suatu ide baru","Iya seperti pada bagian pembukuan, pelaporan namun seperti pada auditing masih membutuhkan tenaga manusia terlebih bagian penilaian harga pada suatu aktiva","Iya, namun hal tersebut hanya mungkin dapat digunakan pada perusahaan besar, untuk skala menengah dan kecil kebanyakan masih semi manual karena terhalang biaya dan sdm","Yes for some parts of accounting, but also still relevant in this field",0.2144,Positif
"Menurut saya, hal itu sangat memudahkan, efektif dan instan.",Munculnya society 5.0 berdampak pada semua profesi entah itu sedikit atau banyak.,"Profesi akuntansi akan ikut terkena dampak dari society 5.0, karna sekarang saja sudah banyak kecerdasan buatan yang membantu pekerjaan profesi akuntansi.","Menurut saya iya, banyak tahapan-tahapan dalam proses akuntansi dan keuangan yang menggunakan kecerdasan buatan.","I don't think so, because although artificial intelligence is more effective and efficient. The occurrence of accounting processes in the real world cannot be inputted into artificial intelligence without an accountant.",0.9128,Positif
"Jika adanya big data robotic dan kecerdasan buatan, memang kinerja manusia bisa saja kurang dibutuhkan, namun sebenernya yang membuat big data dsb itu kan manusia, jadi kita sekarang harus mengikuti trend dan benar benar harus mengerti IT agar tidak di singkirkan oleh zaman ","Iya berdampak pada profesi, profesi yang sudah tidak lagi di butuhkan akan disingkirkan oleh robot yang bisa membuat semua pekerjaan lebih efisien","Menurut saya bisa saja karena banyak robot skrg yang sudah bisa membaca bagaimana rumus rumus akuntansi, tetapi bisa juga tidak karena adanya keterbaharuan mengenai sebuah ilmu juga akan berdampak pada robot, bisa saja robot itu tidak bisa memperbaharui pengetahuan nya, jadi masih membutuhkan manusia ",Tidak juga,Not in my opinion,0.0,Netral
"Bagus, tingkat modernisasi terus berkembang. Kebutuhan manusia semakin mudah untuk dipenuhi melalui hasil dari teknologi. Disamping itu, efek negatif yang muncul dari modernisasi ini yaitu keharusan kita meningkatkan kemampuan agar tidak kalah saing dengan teknologi yang lahir dari pembuat teknologi ",Tentu saja iya. Teknologi hadir sebagai evolusi pada kehidupan manusia,"Jelas sekali iya. Terlihat dari kemampuan teknologi yang mampu meniru berbagai pekerjaan akuntansi. Tetapi, yang mampu mengetahui sistem, mempresentasikan hasil akuntansi, dan yang mampu merevisi kesalahan yang adalah hanyalah akuntan ","Through predictions, the accounting profession will be displaced by technological capabilities. Because technological capabilities can be entered into various sources of knowledge that humans have","Through predictions, the accounting profession will be displaced by technological capabilities. Because technological capabilities can be entered into various sources of knowledge that humans have",0.0,Netral
Makin mudahnya dalam melakukan pekerjaan,"Tentunya ada karena dengan dengan adanya big data, robotic, dan ai sangat memudahkan pekerjaan di berbagai profesi ",Betul karena dengan  ada perkembangan ia yang mulai  digunakan,Tentunya tapi walaupun memakai ai tetap harus ada pengawasan atau evaluasi ,"Maybe yes, but there is still a role for humans",0.2144,Positif
"Dengan ada society 5.0 memiliki dampak baik dan dampak buruk.  Akan tetapi saya melihat di kehidupan sehari hari kita. Society 5.0  sangat banyak dampak buruk nya, kita khususkan saja sebagai mahasiswa dengan ada nya chatgpt membuat sebagian besar mahasiswa memanfaatkan dengan cara yang salah. Bahkan sampai ada yang membuat artikel dan makalah melalui Chatgpt. ","Menurut saya iya, karena setiap profesi pasti akan selalu berkaitan dengan teknologi² seiring berkembangnya ilmu pengetahuan ini. Akan tetapi tidak semua pekerjaan profesi tersebut dapat digantikan dengan teknologi","Iyaaa, ada beberapa tugas akuntan yang akan digantikan oleh AI. Akan tetapi perusahaan tetap akan membutuhkan seorang akuntan dalam mengawasi nya. ",Mungkin lebih ke 50:50 terbagi oleh AI dan akuntan. ,I don't know much hehe,0.0,Netral
untuk mempermudah dan memenuhi kebutuhan kehidupan sehari-hari manusia. ,"berdampak, karena dengan adanya society 5.0 mempermudah kita dalam mengerjakan kegiatan sehari-hari","Tidak, meskipun mengalami banyak perubahan, profesi akuntan dinilai masih eksis hingga masa kini. Agar dapat menyesuaikan diri dengan era transformasi digital yang semakin canggih, seorang akuntan perlu meng-upgrade kualitas diri.",menurut saya meskipun ada penggunaan robotic dibidang akuntansi tetapi profesi ini tetap dibutuhkan,God willing no,-0.0258,Negatif
sangat membantu dan memudahkan pekerjaan ,iya terjadi transofmasi dalam berbagai aspek yang menyebabkan beberapa profesi terancam ,Correct,benar banyak ditemukan teknologi akuntansi yang semakin memudahkan proses pencatatan dan menampilan informasi akuntansi,maybe if there is no synergy to stem it,-0.296,Negatif
"Saya memiliki argumen positif dan negatif mengenai hal tersebut, argumen positif saya adalah karena dapat lebih efisien dalam melakukan kegiatan atau pekerjaan yang dilakukan oleh manusia, argumen negatifnya adalah karena dengan adanya robotic dapat menurunkan lapangan pekerjaan manusia karena digantikan oleh robotic",Menurut saya berdampak pada semua profesi karena robotic tersebut dapat diprogram untuk melakukan tugas atau pekerjaan di bidang tertentu ,"Iya karena menurut saya dengan adanya society 5.0 juga berdampak pada bidang profesi akuntansi karena yang awalnya laporan keuangan dibuat oleh manusia, dapat digantikan dengan aplikasi atau software terkait akuntansi ",Iya karena perusahaan akan mementingkan dalam efektivitas dan efisiensi dalam mencapai tujuan perusahaan ,"In my opinion, the role of humans is still important in society 5.0 because in recognizing every transaction in a company, human logic is still needed to do it",0.2023,Positif
dengan adanya society 5.0 mungkin dapat membantu manusia di beberapa pekerjaan yang memang agak susah jika dilakukan tanpa ada inovasi teknologi,bisa berdampak pada semua jika robotic lebih efisien digunakan ,"tidak, karena akan dibutuhkan kecerdasan manusia untuk meneliti laporan",bisa saja di profesi lain akan terjadi disrupsi,could be shifted if the role of robotics is more needed,0.0,Netral
era ini menyebabkan perubahan yang signifikan dalam segala sektor kehidupan manusia yang lebih menguntungkan dari segi efisiensi waktu dll,society 5.0 sangat berdampak dal.bidang profesi,"bisa jadi,",can,yes but not significant,-0.0098,Negatif
Menurut saya society 5.0 adalah era yang mana semua hal dapat di lakukan dengan mudah tanpa perlu banyak usaha dan semua hal yg berbau teknologi akan semakin luas penggunaannya dalam berbagai bidang kehidupan ,"Ya, semua bidang pekerjaan akan terdampak walau tidak semua bidang terkena dampak yang besar","Menurut saya iya, karena profesi akuntansi akan terdampak cukup besar karena profesi akuntansi profesi yang sering bersinggungan dengan penggunaan teknologi dalam mempermudah pekerjaan, sehingga kemungkinan besar akan terdisrupsi","Menurut saya tidak, dan karena masih butuh user sebagai pengguna teknologi tersebut tapi user tidak butuh ilmu yang banyak karena sudah dibantu oleh kecerdasan buatan ","In my opinion, in the short term it will not be shifted, but in the long term there is a possibility that it will",0.0,Netral
Sangat membantu pekerjaan apalagi jaman saat ini manusia ingin yang praktis mudah dan cepat,"Iya sangat berdampak,ada dampak baiknya mungkin karena sangat membantu pekerjaan dan juga menghemat waktu,dan dampak buruknya manusia akan tergeser pekerjaannya",Iya sangat berdampak karena robotic atau kecerdasan buatan minim melakukan kesalahan,Mungkin karena minim kesalahan,"Yes it can be, because the company definitely wants valid data",0.6597,Positif
"Society 5.0 untuk meningkatkan efisiensi dan produktivitas dalam berbagai sektor, serta mengurangi dampak negatif terhadap lingkungan dan membantu mencapai tujuan pembangunan berkelanjutan.",Sangat berdampak apa lagi bagi seorang akuntan yang sangat terancam jabatannya dengan kemajuan teknologi di era global yang akan munculnya sistem robot untuk membantu menyusun laporan keuangan perusahaan.,seorang akuntan perlu meng-upgrade kualitas diri agar tidak mudah tergeser dengan adanya robotic,Iya dengan kemajuan teknologi pasti orang cenderung menggunakan teknologi,"In my opinion, it is not shifted because robotics can only compile financial reports, but to analyze financial reports, you still need to use an accountant",0.0,Netral
Untuk meningkatkan efisiensi dan produktivitas dalam berbagai sektor,Sangat berdampak pada karir seorang akuntan yang menimbulkan pergantian tenaga manusia terhadap robot sehingga menimbulkan banyak tenaga akuntan yang menganggur,Seorang akunta perlu upgrade diri agar tidak mudah tergeser dengan adanya robotic,Dengan kemajuan teknologi pasti orang cenderung menggunakan teknologi ,"Not shifted, because robotic can only compile financial reports but to analyze financial reports still need an accountant",0.0,Netral
"Menurut saya, adanya teknologi 5.0 sangat membantu saya pribadi dalam menjalankan aktivitas, kegiatan perkuliahan saya cukup terbantu. ","Menurut saya, sebagian besar profesi mulai atau bahkan sudah beradaptasi dengan Artificial Intelligence. ","Menurut saya, belum sepenuhnya","Menurut saya, profesi akuntansi beradaptasi dengan adanya teknologi",Maybe not for now,0.0,Netral
Iyaa,Iya sangat berdampak karena lebih efisien ,Iya paling pertama kali yang terkena,Can,Yes it will happen,0.4019,Positif
menurut saya tentang society 5.0 itu baik namun kurang efektif karena hanya menguntung bagi pihak yang pembuat saja dan menguntungkan kepada orang yang paham dengan masalah itu,Berdampak karena dimasa yg akan datang mungkin semua pekerjaan atau profesi akan menggunakan kecerdasan buatan,"Yaa, mungkin dueres sekarang sudah banyak apk yang dibuat untuk membuat laporan keuangan jadi akan lebih baik jika menggunakan alat karena menghindari hal hak Yg tidak diinginkan ","Iya karena mengurangi kecurangan dari manusia itu sendiri, dan robot itu busa diprogram dengan baik, kecuali juka terjadi eror",It could be,0.0,Netral
Bagi saya cukup memberi kemudahan untuk kegiatan sehari-hari.,"Munculnya Society 5.0 berdampak signifikan pada semua bidang profesi sebagai hasil dari perkembangan big data, robotika, dan kecerdasan buatan. Society 5.0 menggambarkan masyarakat yang terhubung secara digital di mana teknologi informasi dan komunikasi memainkan peran sentral dalam kehidupan sehari-hari.","Profesi akuntansi adalah salah satu bidang profesi yang terkena dampak disrupsi oleh perkembangan teknologi. Perkembangan big data, analitik data, kecerdasan buatan, dan otomatisasi telah mengubah cara kerja dalam bidang akuntansi.","Adanya disrupsi di bidang profesi akuntansi telah mendorong penggunaan teknologi robotic, big data, dan kecerdasan buatan dalam aktivitasnya. Profesi akuntansi telah mengadopsi teknologi ini untuk meningkatkan efisiensi, akurasi, dan analisis dalam pekerjaan mereka.","Developments in robotic technology and artificial intelligence have changed the way accounting works and may impact the accountant's traditional role. However, the role of the accountant in the next few years will still be relevant and important.",0.5994,Positif
menurut saya dengan kemajuan ini kemampuan manusia semakin berkurang dan sebaiknya diseimbangkan antara manusia dan juga alat,iya tentu saja berdampak karena dapat menyebabkan pengangguran dini akibat kurang sdm yang digunakan,tentu saja iya,kemungkinan besar iya,does not seem,0.0,Netral
Akan banyak menggeserkan suatu aktivitas maupun profesi yang berhubungan dengan It,"Iyaa , karena umumnya sekarang lebih menggunakan aktivitas yang cepat ",Iya karena bidang akuntansi ini banyak menggunakan sistem yang memang lebih mudah menggunakannya,Iyaa lebih mudah dan cepat ketimbang dengan tenaga manusia yang mana meskipun manusia juga perlu dibutuhkan.,"Yes, even now it has shifted a lot",0.4019,Positif
"Menurut saya semua itu kembali pada pribadinya masing"" bagaimana cara beradaptasi dgn semua itu",Semuanya pasti berdampak tp dibalik itu semua ada positif dan negatif ,"Kalau menurut saya iyh,karna akuntansi pasti banyak peraturan yg sering berubah",Sebenarnya ada karna kalau tidak menggunakan komputer atau yg lain makan pekerjaan akan lebih sulit ,Won't,0.0,Netral
Cukup membantu/memudahkan dalam penyelesaian tugas/pekerjaan,"Sangat, karena tidak menutup kemungkinan teknologi yang semakin berkembang tidak hanya membantu kita dalam hal pekerjaan tapi mungkin saja bisa menggantikan peran kerja kita.",Can,"Belum, karena sejauh ini teknologi yang ada hanya sekedar memudahkan kita dalam penyusunan laporan dan pengoreksian data ","Do not rule out, because technology will continue to grow.",0.0,Netral
tidak dipungkiri bahwa teknologi sangat memudahkan segala sesuatu saat ini. pastinya banyak sekali kemudahan/keuntungan yang ada. namun pastinya juga ada efek negatif yang muncul terutama teknologj/robotic dapat menggantikan manusia.,"tidak tau pasti, tp dalam akuntansi mungkin saya pikir ini pastinya aman berdampak pada prospek kerja kedepannya. adanya AI ataupun robotic pastinya sangat berperan perting dalam.pekerjaan yang lebih efektif dan efisien.",Iya. mungkin akan menggantikan manusia dalam pembuatan laporan keuangan. tapi seperti yang kita tau perlu adanya pengguna yang dapat mengoperasikan alat teknologi,iyaa karena mengingat kita semakin berkembang dan mengikuti perkembangan zaman menggunakan teknologi.,I think yes. but maybe in the future we also have to keep up with developments such as accounting technology as technology users,0.2144,Positif
" visi masa depan yang digambarkan oleh Jepang yang menitikberatkan pada penerapan teknologi tinggi seperti IoT dan AI untuk meningkatkan efisiensi dan produktivitas dalam berbagai sektor, serta mengurangi dampak negatif terhadap lingkungan dan membantu mencapai tujuan pembangunan berkelanjutan","Ya, berdampak","Fifty fifty
Karena adanya dampak tersebut membuat seuatu kemajuan dan ke efektifan serta efisiensi dalam proses terkait akuntansi",Of,"In my opinion, can not be replaced.
However, it can be used as a tool to help accuracy in the sustainability process",0.4019,Positif
"Menurut saya, ",Menurut saya munculnya society 5.0 berdampak pada semua bidang profesi,Iyh,It could be,"I don't think so because as sophisticated as robotics is, it still needs to use humans",0.5945,Positif
Pendapat saya tentang society 5.0 akan mempengaruhi banyak hal yang akan terjadi dimasa yang akan datang ,Menurut saya berdampak pada semua bidang karena teknologi bisa mencangkup segala hal,Menurut saya profesi akuntansi kemungkinan besar akan terkena disrupsi karena terganti kan oleh kecanggihan teknologi yang akan berkembang ,Menurut saya profesi akuntansi bisa jadi akan tergantikan oleh teknologi dimasa yang akan datang,I think so,0.0,Netral
"menurut saya, di era kini menjadi tantangan baru bagi orang yang bekerja di bidang ekonomi, karena mereka semua bisa tergantikan oleh kinerja otomatis nya robot, walaupun pengoperasiannya masih menggunakan tangan manusia, tapi tentu saja dengan adanya hal tersebut membuat peluang kerja lebih sempit","iya, karena kini semua hal tergantung oleh kecepatan sistem oleh teknologi, mulai dari kesehatan, informasi, pendidikan maupun hingga orang yang bekerja di lapangan seperti teknis dll","iya, karena yang dahulunya memasukkan data secara manual, mengisi apapun menggunakan tulis tangan, tapi karena kini di era 5.0 serba robot dan banyak kecerdasan buatan lainya, maka pekerjaan manual bisa ke disrupsi dengan teknologi ",iyaa,"probably not, because robots are still driven by humans",0.0,Netral
"Pendapat saya tentang society 5.0 sebenarnya dapat memberikan dampak positif apabila digunakan dengan baik, seperti biasa mendapatkan informasi dengan mudah.","Menurut saya berdampak, karena sangat membantu di berbagai bidang.","Menurut saya iya, karena akuntansi termasuk bidang yang banyak diminati.","menurut saya iya, karena akuntansi banyak menggunakan teknologi robotic dan sebagainya.","In my opinion, yes, because many people are helped, one of them is in the field of accounting.",0.4019,Positif
Menurut saya hal tersebut sangatlah bagus dimana ada kemajuan dari segi teknologi yang mana hal tersebut menunjukkan bukti adanya perkembangan zaman yang pesat,"Hampir tapi tidak semua profesi bisa digantikan, jadi menurut saya tidak berdampak pada semua bidang yang ada",Mungkin profesi bisa terancam tetapi tidak semua profesi akuntansi akan terdisrupsi,Can,"Yes, because the accounting profession is vulnerable to being replaced by artificial intelligence",0.5994,Positif
Menurut pendapat saya hal ini membantu. Dengan berkembangnya teknologi maka akan mempermudah segala hal.,Tidak menutup kemungkinan akan berdampak pada semua bidang profesi. Contohnya seperti aplikasi akuntansi untuk menyusun laporan keuangan. Hal ini mempengaruhi profesi akuntan. Namun tetap saja hal tersebut harus dijalankan oleh seorang akuntan. Jadi menurut saya walaupun sebanyak apapun robotic big data dsb menurut saya profesi akuntan masi diperlukan hanya saja mungkin tidak banyak dan harus dgn kualitas akuntan yang baik. ,"Menurut saya hal ini mungkin tidak mengganggu untuk saat ini. Namun, tidak menutup kemungkinan semakin berkembangnya teknologi bisa jadi hal ini akan menyebabkan disrupsi.",Iya karena menggunakan teknologi mempermudah seorang akuntan dalam menyusun laporan keuangan.,"I don't think so. Because both are developing very rapidly, technology must definitely be run by an accountant.",0.4019,Positif
"menurut saya munculnya big data, robotic dan kecerdasan buatan itu sangat bagus karena itu membuktikan bahwa zaman semakin maju dan modern dan memudahkan kita dalam beberapa hal tetapi dampak negatifnya adalah ketika muncul nya society 5.0 banyak para pelajar salah memanfaatkan hal tersebut dan malah ketergantungan pada kecerdasan buatan sehingga mereka semakin malas untuk belajar. ","tidak semua bidang profesi akan berdampak karena walaupun telah muncul big data, robotic dan kecerdasan buatan akan ada beberapa hal yang tidak bisa dilakukan mereka. karna secanggih”nya mereka itukan yang membuat manusia",bisa iya bisa tidak ,mungkin iyaa,for this case maybe not,0.0,Netral
"Membantu dalam kehidupan sehari-hari, terutama dalam kegiatan kerja dimana tekonologi yang semakin canggih dapat mempercepat dan mempermudah para pekerja","Iya, termasuk di dunia kedokteran dimana profesi tersebut sangat butuh ketelitian yang tajam dan besar human error","Iya, profesi akuntansi yang berkaitan langsung dengan komputer atau teknologi big data",Iya ada karena kecerdasan buatan sangat membantu profesi akuntansi,"Yes, because an accountant is directly related to the development of technology or software",0.4019,Positif
Sangat menarik,"Iya, semakin efisiensi tenaga kerja menjadi teknologi","Tidak, yang terkena disrupsi lebih kepada teknologi berbasis akuntansi untuk membantu pekerjaan akuntan tapi cara berpikir dan pengambilan keputusan akuntan tetap membutuhkan tenaga kerja manusia","Iya, karena dengan menggunakan teknologi akan mengurangi biaya tenaga kerja tentunya juga akan lebih efektif dan efisien","no, because even though it uses technology, of course it will still require manpower to operate it",0.0,Netral
Sangat membantu dalam kehidupan yang semakin modern dengan mempermudah dan melancarkan produktivitas dalam berbagai sektor publik.,"Iya semua bidang karena sangat membantu dalam hal apa saja,  mengurangi dampak negatif terhadap lingkungan dan membantu mencapai tujuan pembangunan berkelanjutan",Iya bidang profesi akuntansi merupakan salah satu bidang yang terkena disrupsi,"Tidak semua dibidang profesi akuntansi menggunakan teknologi robotic,big data dan kecerdasan buatan dalam aktivitas karna sebagian aktivitas harus dilakukan oleh profesi akuntansi sendiri.","In my opinion, the role of the accounting profession cannot be shifted because it is very important for various entities and sectors. But accounting jobs that require low skills such as recording transactions can be replaced by robotics and artificial intelligence.",0.4672,Positif
Secara keseluruhan jika digunakan dengan baik dan tepat pada fungsinya (tidak mendominasi manusia) maka akan sangat membantu manusia dalam kesehariannya.,"Berdampak, sebab dapat membantu kegiatan manusia. ","Iya, sebab keberadaan akuntansi jika dikolaborasi dengan teknologi maka akan membantu  kegiatan manusia.",can.,"No, because not all technologies can replace human functions in fulfilling their activities.",0.0,Netral
Kalau masih bermanfaat dan dalam batasan wajar tidak masalah,"Tidak, karena masih ada profesi yang tidak bisa digantikan dengan adanya big data, robotic dan kecerdasan buatan",Jika kecerdasan buatan dan robotic tidak bisa menggantikan profesi akuntansi,"Mungkin lebih mengarahkan saja, jadi untuk aktivitas utama nya masih perlu bantuan manusia",I don't think it will shift the accounting profession,0.0,Netral
dapat membantu manusia dengan memudahkan pekerjaan ,"tidak semuanya, mungkin ada beberapa profesi","kebanyakan isu mengatakan iya, tetapi bagi saya tidak karena meskipun profesi akuntansi dibantu oleh beberapa teknologi tetapi masih memerlukan manusia untuk terus memantaunya","untuk membantu membuat pelaporan suatu keuangan iya, tetapi untuk profesi akuntansi dibidang analisis maupun auditor tidak akan bisa digantikan karena profesi tersebut tetap harus memerlukan integrasi manusia ketika mengerjakannya","I don't think so, because the era of artificial intelligence only helps to make work easier, not to get work done",0.8176,Positif
menurut saya dengan adanya hal tersebut bisa membuat kita menjadi lebih malas,"sangat berdampak, karena nantinya pekerjaan akan digantikan oleh robot sehingga tidak membutuhkan tenaga ahli lagi","iya, karena saat ini saja sudah banyak aplikasi yang secara otomatis mengerjakan profesi akuntan dalam membuat laporan keuangan","iya, karena teknologi akan membuat akuntan lebih efisien dalam membuat laporan keuangan dan mengetahui hasilnya untuk kemudian dianalisis","yes, surely some of the duties of the accounting profession will be replaced by existing technology",0.6808,Positif
akan membawa dampak positif memudahkan pekerjaan manusia namun juga akan merugikan dibeberapa bidang pekerjaan,tidak semua,can,can,can,0.0,Netral
munculnya hal tersebut cukup membantu kami melakukan penyelesaian terhadap tugas-tugas,iyaaa,"iya, dikarenakan banyak sekali aplikasi2 yang telah digunakan untuk mengganti profesi akuntan","tidak juga, karena aplikasi tersebut membutuhkan orang untuk menjalankannya",maybe,0.0,Netral
Bagus. Meringankan kerjaan ,"Bisa jadi, dikarenakan semua manusia ingin kemudahan dan efisiensi yang akhirnya cenderung kepada keinginan masuk ke semua bidang profesi","Bisa jadi. Apalagi untuk seorang analis, semua akan dimudahkan dalam perangkat lunak akuntansi sehingga selain akuntan yang akan hilang hingga analis yang akan mungkin berdampak yang sama","Mungkin dengan adanya sistem akuntansi yang menggunakan robotic. Maka, bisa memungkinkan semua hal yang menunjang akan menggunakan hal serupa. Menurut saya, hal tersebut telah terjadi cuman saja tidak secara menyeluruh atau masih banyak yang tertinggal dan kemungkinan akan ada pengembangan dengan isu penyempurnaan sistem yang kurang","The development of the times maybe yes, because of its sophistication to the point where robots can make decisions through artificial intelligence through the input that is entered. So, the conclusion is yes",0.8176,Positif
"dengan adanya era ini dapat memajukan tekonologi yang sudah ada. selain itu, dengan adanya era ini juga dapat membantu kemudahan dalam menjalankan suatu pekerjaan
",mungkin seperti itu sebab pada saat ini saja sebagian besar kegiatan telah menggunakan elektronik. dapat disimpulkan bahwa semua profesi ini akan terdampak dan terdapat pengaruh akibat adanya era ini.,"menurut saya, profesi akuntansi ini sedikit mengalami disrupsi sebab perlu melakukan penyesuaian akibat berkembangnya teknologi digital.","menurut saya, profesi akuntansi mungkin dalam beberapa tahap dapat menggunakan atau digantikan dengan tekonologi digital namun tetap membutuhkan peran manusia di dalamnya.","In my opinion, this disruption will not shift the role of the accounting profession to robotics and digital intelligence because it still requires the role of humans to provide opinions on the financial reports that have been made.",0.058,Positif
"society 5.0 sangat membantu manusia dalam kehidupan. Seperti kita tidak perlu membaca buku fisik jika ingin mencari jawaban dari isi kepala kita, tapi kita bisa memakai buku digital yang disediakan oleh jasa pencarian internet.","tidak, ada beberapa profesi yang tidak dapat tergantikan oleh kecerdasan buatan seperti contohnya dokter karena memerluka kontak fisik langsung kepada pasien dan menurut saya kecerdasan buatan ini bukan malah menghilangkan pekerjaan tapi membantu meringankan pekerjaan",can,"iya, karena lebih memudahkan seorang akuntan dalam membuat laporan keuangan perusahaan","no, just helping out. Because robotics cannot upgrade the abilities of accountants and only accountants themselves can upgrade their abilities through intermediaries such as artificial intelligence used in their work.",0.6767,Positif
"Cukup khawatir, karena dalam era tersebut data pribadi akan rentan terpublikasi dan banyaknya pekerjaan profesi yang akan berkurang serta tergantikan pada big data, robotic, dan kecerdasan buatan","Iya, karena terdapat keunggulan tersendiri dari penerapan big data, robotic, dan kecerdasan buatan tersebut daripada manusia","Bisa jadi, karena terdapat alat untuk mengukur kejujuran seperti AI lebih akurat daripada manusia sendiri","Iya, seorang profesi akuntansi khususnya akan selalu mengikuti perkembangan zaman apalagi zaman teknologi yang semakin canggih","It could be, because technology is getting more and more sophisticated every year",0.6318,Positif
Munculnya society 5.0 akan memberikan dampak positif dan negatif pada masyarakat,Sangat berdampak,Untuk saat ini masih belum,Can,Maybe but in 10 or 20 years,0.0,Netral
"Jasi Konsep Society 5.0 bisa mengatasi tantangan yang dihadapi oleh masyarakat modern, apalagi bagi kita senua selaku mahasiswa. apalagi dgn konsep ini menggabungkan teknologi yang ada, seperti big data, robotika, dan kecerdasan buatan, Society 5.0  menjadi harapan untuk lebih efisein dan maju kedepannya. ","Namun masih aja ada dampak yg buruk, untuk mahasiswa sendiri jadi lebih tergantung dengan jawaban yang instan biasanya saya akses melaui Chat GPT, tapi dampak baiknya saya bisa langsung tau poin dan maksudt dari sesuatu yang akan saya cari jawabannya atau dengan mudah lah intinya.","iya benar, ya itu tadi menjadi ketergantungan dengan robot ","iya perubahan yang ada, semisal chat gpt semakin trend, maka akan semakin banyak robot lainnya yg akan bersaing","maybe yes, because the role will be replaced by robots and artificial intelligence",0.7003,Positif
"sangat menantikan hal tersebut, manusia jadi lebih terbantu oleh hal tersebut",pastinya,menurut saya iya,"dalam penggunaan teknologi sangat diperlukan untuk mempermudah pekerjaan manusia, dan sebagai akuntan kita perlu kebih berkembang lagi untuk memanfaatkan teknologi tersebut. akuntan bukan hanya sebagai pengelola keuangan tetapi juga dapat sebagai yang membuat program dari teknologi tersebut","Certainly, technology will definitely shift the role of a human being. but humans need to develop further to run the technology.",0.3716,Positif
"menurut saya bagus dan bermanfaat, karena dengan big data, robotic, dan kecerdasan buatan, semua pekerjaan bisa dilakukan dengan mudah, dan data"" yang dibutuhkan untuk mengambil keputusan itu lebih akurat karena data"" yang diperlukan tersaji lebih lengkap","iya, baik itu dampak negatif maupun positif pasti akan berdampak pada semua profesi",can,"tidak, karena menurut saya secanggih apapun teknologi, untuk menganalisis dan bidang""lain akuntansi seperti auditor masih dibutuhkan oleh sumber daya manusia, hanya saja pekerjaan dapat dilakukan dengan midah, kekurangannya hanya adaptasi dan kemampian dari SDM akuntan sendiri, bisa atau tidaknya beradaptasi dengan teknologi dan mau atau tidaknya","no, but the accounting profession will switch or add other skills to support the ability to use technology.",0.7579,Positif
Tentu hal ini dapat memudahkan kita dalam menjalankan kehidupan namun perlu dikaji lebih lanjut lagi mengenai dampak yg terjadi bila era ini terus menerus berkembang,"Untuk saat ini, seperti chat got masih belum bisa menganalisis data secara lebih terperinci karena mereka tidak memiliki akses kesana. Sehingga profesi sebagai analis dan sejenisnya dapat dikatakan tidak berdampak","Menurut saya akuntansi sedikit terdisrupsi dibagian input data. Sebelum munculnya teknologi, para akuntan menginput data satu persatu mulai dari jurnal hingga laporan. Namun sekarang hanya perlu satu kali input di jurnal. ",Can,There is a possibility but not in the analysis section because robots cannot be sensitive to issues such as macroeconomics and company conditions,0.0,Netral
"Tentunya ada sisi positif dan sisi negatif yakni dapat membantu sebagian pekerjaan namun sisi negatifnya yakni semakin menurunnya literasi di kalangan 5.0 krna telah berpacu pada Ai, robotic, maupun kecerdasan buatan.","Tidak, krna ad bbrpa bidang yg tidak dpt tergantikan contohnya yg berhubungan dgn peronality as a dokter, psikolog yg scra face to face hrus dilakukan oleh seorang manusia yg profesional","Ya, krna rentan dengan pengaruh kemajuan teknologi apalagi di era5.0","Mungkin iya tapi sebagian, seperti input data dalam database, pencatatan terkomputerisasi, dan lain². Namun, tetap saja peran seorang akuntan yg diperankan oleh manusia ini tidk bisa digantikan krna AI robotic dll krna value dri manusia tetap ada robotic hanya program yg diprogramkan oleh manusia dan tidak bisa lebih dri itu.","No, I'm sure it doesn't touch humans, it still has more value than robotic and has more aggregate and flexible properties than existing programs in an AI or robotic",0.7316,Positif
